Origin,Lattitude,Longitude,Number of Children
AFGHANISTAN,33.93911,67.709953,5
ALBANIA,41.153332,20.168331,15
ANGOLA,-11.202692,17.873887,469
ARGENTINA,-38.416097,-63.616672,18
ARMENIA,40.069099,45.038189,409
AUSTRALIA,-25.274398,133.775136,2
AZERBAIJAN,40.143105,47.576927,20
BAHAMAS,25.03428,-77.39628,5
BANGLADESH,23.684994,90.356331,550
BARBADOS,13.193887,-59.543198,2
BELARUS,53.709807,27.953389,34
BELGIUM,50.503887,4.469936,1
BELIZE,17.189877,-88.49765,199
BENIN,9.30769,2.315834,3
BOLIVIA,-16.290154,-63.588653,8
BRAZIL,-14.235004,-51.92528,"13,783"
BURKINA FASO,12.238333,-1.561593,3
BURMA,21.916221,95.955974,1
CAMEROON,7.369722,12.354722,50
CANADA,56.130366,-106.346771,87
CHILE,-35.675147,-71.542969,527
CHINA (MAINLAND),26.260824,-80.249339,60
"CHINA, PEOPLES REPUBLIC OF",35.86166,104.195397,223
COLOMBIA,4.570868,-74.297333,202
CONGO,-4.038333,21.758664,90
COSTA RICA,9.748917,-83.753428,72
CUBA,21.521757,-77.781167,"3,071"
DEM REP OF THE CONGO,-4.038333,21.758664,321
DEMOCRATIC REPUBLIC OF CONGO (ZAIRE),-4.038333,21.758664,557
DOMINICAN REPUBLIC,18.735693,-70.162651,32
ECUADOR,-1.831239,-78.183406,"5,402"
EGYPT,26.820553,30.802498,16
EL SALVADOR,13.794185,-88.89653,"68,525"
EQUATORIAL GUINEA,1.650801,10.267895,2
ERITREA,15.179384,39.782334,19
ETHIOPIA,9.145,40.489673,5
FRANCE,46.227638,2.213749,11
FRENCH GUIANA,3.933889,-53.125782,10
GAMBIA,13.443182,-15.310139,3
GEORGIA,32.1656221,-82.9000751,59
GERMANY,51.165691,10.451526,2
GHANA,7.946527,-1.023194,42
GUADELOUPE,16.265,-61.551,5
GUAM,13.444304,144.793731,2
GUATEMALA,15.783471,-90.230759,"211,772"
GUINEA,9.945587,-9.696645,66
GUYANA,4.860416,-58.93018,5
HAITI,18.971187,-72.285215,"1,201"
HONDURAS,15.199999,-86.241905,"173,477"
HUNGARY,47.162494,19.5033041,2
INDIA,20.593684,78.96288,"2,038"
IRAN,32.427908,53.688046,14
IRAQ,33.223191,43.679291,4
IRELAND,53.1423672,-7.6920536,11
ITALY,41.87194,12.56738,22
IVORY COAST,7.539989,-5.54708,5
JAMAICA,18.109581,-77.297508,3
JORDAN,36.1500042,-95.9882368,1
KAZAKHSTAN,48.019573,66.923684,26
KENYA,-0.023559,37.906193,4
KOSOVO,42.6026359,20.902977,2
KYRGYZSTAN,41.20438,74.766098,115
LIBYA,26.3351,17.228331,3
MALAYSIA,4.210484,101.975766,1
MALI,17.570692,-3.996166,1
MEXICO,23.634501,-102.552784,"86,876"
MOLDOVA,47.411631,28.369885,7
NEPAL,28.394857,84.124008,76
NICARAGUA,12.865416,-85.207229,"5,539"
NIGERIA,9.081999,8.675277,21
NONE/UNKNOWN,37.288001,-93.359622,3
PAKISTAN,30.375321,69.345116,29
PANAMA,8.537981,-80.782127,59
PARAGUAY,-23.442503,-58.443832,2
PERU,-9.189967,-75.015152,494
PHILIPPINES,12.879721,121.774017,4
POLAND,51.919438,19.145136,3
PORTUGAL,39.399872,-8.224454,7
QATAR,25.354826,51.183884,1
REPUBLIC OF CONGO (BRAZZAVILLE),-0.228021,15.827659,98
REPUBLIC OF SOUTH AFRICA,-30.559482,22.937506,9
ROMANIA,45.943161,24.96676,917
RUSSIA,61.52401,105.318756,679
RWANDA,-1.940278,29.873888,2
SAUDI ARABIA,23.885942,45.079162,2
SIERRA LEONE,8.460555,-11.779889,7
SLOVAKIA,48.669026,19.699024,1
SOMALIA,5.152149,46.199616,16
SOUTH AFRICA,-30.559482,22.937506,2
SOUTH KOREA,35.907757,127.766922,2
SPAIN,40.463667,-3.74922,30
SRI LANKA,7.873054,80.771797,12
SUDAN,12.862807,30.217636,6
SWITZERLAND,46.818188,8.227512,1
SYRIA,34.802075,38.996815,4
TAJIKISTAN,38.861034,71.276093,17
THAILAND,15.870032,100.992541,1
TOGO,8.619543,0.824782,1
TRINIDAD AND TOBAGO,10.691803,-61.222503,3
TURKEY,38.963745,35.243322,250
TURKMENISTAN,38.969719,59.556278,4
UGANDA,1.373333,32.290275,18
UKRAINE,48.379433,31.1655799,204
UNITED ARAB EMIRATES,23.424076,53.847818,1
UNITED KINGDOM,55.378051,-3.435973,11
UNITED STATES OF AMERICA,37.09024,-95.712891,1
UNKNOWN,35.2207201,-80.8577983,11
URUGUAY,-32.522779,-55.765835,26
UZBEKISTAN,41.377491,64.585262,562
VENEZUELA,6.42375,-66.58973,"3,640"
VIETNAM,14.058324,108.277199,450
YEMEN,15.552727,48.516388,4
